mal_id,korean_name,english_name,japaneses_name,production_company,genre,themes,demographics,special,animelist_url,rating,alternate_titles,small_image_url,large_image_url,image_url,trailer_url,score,scored_by,members,year,season,favorites,episodes,anime_type,source,check_sum
43692,극주부도,the way of househusband,極主夫道,J.C.Staff,Comedy,"Adult Cast, Gag Humor, Organized Crime",,"Next Manga Awards(2018,3)",https://myanimelist.net/anime/43692/Gokushufudou,PG-13 - Teens 13 or older,"극주부도,the way of househusband,極主夫道",https://cdn.myanimelist.net/images/anime/1535/117726t.jpg,https://cdn.myanimelist.net/images/anime/1535/117726l.jpg,https://cdn.myanimelist.net/images/anime/1535/117726.jpg,https://www.youtube.com/watch?v=cvZ9thKolOA,7.25,246775,435345,,,2750,5,ONA,Web manga,Gokushufudou
52991,장송의 프리렌,Frieren at the Funeral,葬送のフリーレン,Madhouse,"Adventure, Drama, Fantasy",,Shounen,"Cartoon Grand Prize(2021,1),Tezuka Osamu Cultural Prize(2021,2),The Kodansha Manga Award(2024),Next Manga Awards(2021,3)",https://myanimelist.net/anime/52991/Sousou_no_Frieren,PG-13 - Teens 13 or older,"장송의 프리렌,frieren at the funeral,葬送のフリーレン",https://cdn.myanimelist.net/images/anime/1015/138006t.jpg,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,https://cdn.myanimelist.net/images/anime/1015/138006.jpg,https://www.youtube.com/watch?v=ZEkwCGJ3o7M,9.33,512811,906397,2023,fall,53440,28,TV,Manga,Sousou no Frieren
121,강철의 연금술사,Fullmetal Alchemist: Brotherhood,鋼の錬金術師,Bones,"Action, Adventure, Award Winning, Drama, Fantasy",Military,Shounen,"The Asahi Shimbun Top 104,Animation Kobe(2004),Tezuka Osamu Cultural Prize(2011,2),Japan Media Arts Festival(2005,4),Japan Media Arts Festival(2004,4),Seiun Award Comics(2011)",https://myanimelist.net/anime/121/Fullmetal_Alchemist,R - 17+ (violence & profanity),"강철의 연금술사,fullmetal alchemist brotherhood,鋼の錬金術師",https://cdn.myanimelist.net/images/anime/10/75815t.jpg,https://cdn.myanimelist.net/images/anime/10/75815l.jpg,https://cdn.myanimelist.net/images/anime/10/75815.jpg,,8.11,901215,1492774,2003,fall,26003,51,TV,Manga,Fullmetal Alchemist
30484,슈타인즈 게이트,Steins;Gate,シュタインズ・ゲート,White Fox,"Drama, Sci-Fi, Suspense",Time Travel,,"Japan Media Arts Festival(2011,4)",https://myanimelist.net/anime/30484/Steins_Gate_0,PG-13 - Teens 13 or older,"슈타인즈 게이트,steins;gate,シュタインズ・ゲート",https://cdn.myanimelist.net/images/anime/1375/93521t.jpg,https://cdn.myanimelist.net/images/anime/1375/93521l.jpg,https://cdn.myanimelist.net/images/anime/1375/93521.jpg,https://www.youtube.com/watch?v=NhExBlBnmQI,8.53,437555,891318,2018,spring,12042,23,TV,Visual novel,Steins;Gate 0
41392,이세계 피크닉,Otherside Picnic,裏世界ピクニック,"LIDENFILMS, Felix Film","Adventure, Fantasy, Mystery, Suspense","Isekai, Survival",,,https://myanimelist.net/anime/41392/Urasekai_Picnic,R - 17+ (violence & profanity),"이세계 피크닉,otherside picnic,裏世界ピクニック",https://cdn.myanimelist.net/images/anime/1494/111515t.jpg,https://cdn.myanimelist.net/images/anime/1494/111515l.jpg,https://cdn.myanimelist.net/images/anime/1494/111515.jpg,https://www.youtube.com/watch?v=r37i6fuajt4,6.65,41281,125329,2021,winter,560,12,TV,Novel,Urasekai Picnic
918,은혼,Gintama,銀魂,Sunrise,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,The Asahi Shimbun Top 104,https://myanimelist.net/anime/918/Gintama,PG-13 - Teens 13 or older,"은혼,gintama,銀魂",https://cdn.myanimelist.net/images/anime/10/73274t.jpg,https://cdn.myanimelist.net/images/anime/10/73274l.jpg,https://cdn.myanimelist.net/images/anime/10/73274.jpg,,8.93,402506,1087125,2006,spring,59536,201,TV,Manga,Gintama
16498,진격의 거인,Attack on Titan,進撃の巨人,Wit Studio,"Action, Award Winning, Drama, Suspense","Gore, Military, Survival",Shounen,Animation Kobe(2013),https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,R - 17+ (violence & profanity),"진격의 거인,attack on titan,進撃の巨人",https://cdn.myanimelist.net/images/anime/10/47347t.jpg,https://cdn.myanimelist.net/images/anime/10/47347l.jpg,https://cdn.myanimelist.net/images/anime/10/47347.jpg,https://www.youtube.com/watch?v=LHtdKWJdif4,8.55,2853843,4039598,2013,spring,174634,25,TV,Manga,Shingeki no Kyojin
33206,코바야시네 메이드래곤,Miss Kobayashi's Dragon Maid,小林こばやしさんちのメイドラゴン,Kyoto Animation,"Fantasy, Slice of Life",,,,https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon,PG-13 - Teens 13 or older,"코바야시네 메이드래곤,miss kobayashis dragon maid,小林こばやしさんちのメイドラゴン",https://cdn.myanimelist.net/images/anime/5/85434t.jpg,https://cdn.myanimelist.net/images/anime/5/85434l.jpg,https://cdn.myanimelist.net/images/anime/5/85434.jpg,https://www.youtube.com/watch?v=okBHQWnYImg,7.93,756981,1259942,2017,winter,16917,13,TV,Manga,Kobayashi-san Chi no Maid Dragon
39071,길모퉁이 마족,The Demon Girl Next?Door,まちカドまぞく,J.C.Staff,"Comedy, Fantasy","CGDCT, Mahou Shoujo, School",,,https://myanimelist.net/anime/39071/Machikado_Mazoku,PG-13 - Teens 13 or older,"길모퉁이 마족,the?demon?girl?next?door,まちカドまぞく,the demon girl next?door",https://cdn.myanimelist.net/images/anime/1633/111518t.jpg,https://cdn.myanimelist.net/images/anime/1633/111518l.jpg,https://cdn.myanimelist.net/images/anime/1633/111518.jpg,https://www.youtube.com/watch?v=ESNhhG3QQBQ,7.64,65143,170625,2019,summer,1205,12,TV,4-koma manga,Machikado Mazoku
50709,리코리스 리코일,Lycoris Recoil,リコリス・リコイル,A-1 Pictures,Action,,,,https://myanimelist.net/anime/50709/Lycoris_Recoil,PG-13 - Teens 13 or older,"리코리스 리코일,lycoris?recoil,リコリス・リコイル,lycoris recoil",https://cdn.myanimelist.net/images/anime/1261/127311t.jpg,https://cdn.myanimelist.net/images/anime/1261/127311l.jpg,https://cdn.myanimelist.net/images/anime/1261/127311.jpg,https://www.youtube.com/watch?v=F5DMjhg3A6c,8.16,252067,521007,2022,summer,8756,13,TV,Original,Lycoris Recoil
54714,너를 너무너무너무너무 좋아하는 100명의 그녀,"The 100 Girlfriends Who Really, Really, Really, Really Love You",君のことが大大大大大好きな100人の彼女,Bibury Animation Studios,"Comedy, Romance","Harem, Parody, School",Seinen,"Next Manga Awards(2020,2)",https://myanimelist.net/anime/54714/Kimi_no_Koto_ga_Daidaidaidaidaisuki_na_100-nin_no_Kanojo,PG-13 - Teens 13 or older,"너를 너무너무너무너무 좋아하는 100명의 그녀,the 100 girlfriends who really really really really love you,君のことが大大大大大好きな100人の彼女",https://cdn.myanimelist.net/images/anime/1812/136764t.jpg,https://cdn.myanimelist.net/images/anime/1812/136764l.jpg,https://cdn.myanimelist.net/images/anime/1812/136764.jpg,https://www.youtube.com/watch?v=1P_M_3QnV1A,7.76,119214,241752,2023,fall,2342,12,TV,Manga,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo
53698,월드 다이 스타,World Dai Star,ワールドダイスター,Lerche,,Performing Arts,,,https://myanimelist.net/anime/53698/World_Dai_Star,PG-13 - Teens 13 or older,"월드 다이 스타,world dai star,ワールドダイスター",https://cdn.myanimelist.net/images/anime/1203/133808t.jpg,https://cdn.myanimelist.net/images/anime/1203/133808l.jpg,https://cdn.myanimelist.net/images/anime/1203/133808.jpg,https://www.youtube.com/watch?v=VXArZL0xF40,7.32,5244,15463,2023,spring,89,12,TV,Mixed media,World Dai Star
